BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,BALANCE_USAGE_RATIO,ONEOFF_PURCHASE_RATIO,INSTALLMENT_PURCHASE_RATIO,TOTAL_PURCHASES,PURCHASES_PER_TRX,CASH_ADVANCE_PER_TRX,PAYMENT_RATIO,MINIMUM_PAYMENT_RATIO,FULL_PAYMENT_FLAG,UTILIZATION_RATIO,cluster_without_pca,cluster_pca_14_comp,cluster_pca_3_comp
40.900748999999905,0.818182,95.39999999999998,0.0,95.39999999999998,0.0,0.166667,0.0,0.08333299999999999,0.0,0.0,2.0,1000.0,201.80208399999992,139.50978699999996,0.0,12.0,0.040900749000000014,0.0,0.9999999895171641,95.39999999999998,47.7,0.0,0.201802084,0.139509787,0.0,0.09539999999999998,2,3,8
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,-5.551115123125783e-17,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.4574953451428571,0.0,0.0,0.0,0.0,1610.73637075,0.5861475138571429,0.1531914595714285,0.0,0.9204207832857143,1,7,2
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.3326865149333333,0.9999999987066235,0.0,773.17,64.43083333333333,0.0,0.08294223226666658,0.0836379716,0.0,0.10308933333333337,6,0,6
1666.670542,0.636364,1499.0,1499.0,0.0,205.78801699999997,0.08333300000000005,0.08333299999999999,0.0,0.083333,1.0,1.0,7500.0,0.0,864.2065423050828,0.0,12.0,0.2222227389333333,0.9999999993328885,0.0,1499.0,1499.0,205.788017,0.0,0.115227538974011,0.0,0.2273050689333333,6,3,8
817.714335,1.0,16.0,16.0,0.0,0.0,0.08333300000000005,0.08333299999999999,0.0,0.0,0.0,1.0,1200.0,678.3347630000001,244.79123700000002,0.0,12.0,0.6814286125,0.9999999375000039,0.0,16.0,15.999999999999993,0.0,0.5652789691666666,0.2039926975,0.0,0.013333333333333308,6,3,8
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,1.005460417222222,0.0,0.9999999992505764,1333.28,166.66,0.0,0.7778098722222222,1.3373589083333335,0.0,0.7407111111111111,3,1,3
627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.06589399999996,1.0,12.0,0.04646376340740738,0.9029221505959064,0.09707784926285967,7091.01,110.79703125,0.0,0.4706899502222222,0.014671547703703713,1.0,0.5252600000000001,8,8,1
1823.652743,1.0,436.20000000000005,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.0650819999998,532.03399,0.0,12.0,0.7928924969565216,0.0,0.9999999977080734,436.20000000000005,36.35,0.0,0.2952456878260869,0.2313191260869565,0.0,0.1896521739130434,3,1,3
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.08333299999999999,0.25,0.0,0.0,5.0,7000.0,688.278568,311.96340900000007,0.0,12.0,0.14498949614285714,0.7678440831955751,0.2321559156443982,861.49,172.298,0.0,0.09832550971428572,0.0445662012857142,0.0,0.12307000000000001,6,3,8
152.22597500000006,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.30226200000004,0.0,12.0,0.013838724999999996,0.9999999992197253,0.0,1281.6,427.2,0.0,0.10588823554545451,0.009118387454545407,0.0,0.11650909090909095,6,3,8
